Category,Narration
UPI,UPI/DR/101895374870/FLIPKAR T /HDFC/**.PAYU@HDFCBANK/U PI TRAN//HDFD625E7E1E4A94657 BD30A7ACF53185BF/05/11/2025 22:28:03
UPI,UPI/DR/740828843104/IRCTC WEB/YESB/**51536@PTYBL/PA YMENT //AXL4A29DC0D4616469EA33B 085A0513346B/06/11/2025 11:48:02
UPI,UPI/DR/101899321560/IRCTCT OUR/HDFC/**PAYTM@HDFCBA NK/PAYMENT//HDF3968DF0434 6049ADBCCAF814E551BC7C/06/11/2025 11:58:27
UPI,UPI/DR/294543218579/IRCTC WEB/YESB/**51536@PTYBL/OI D10000//PTM511068033228379 86317202511061205/06/11/2025 12:06:02
UPI,UPI/DR/101899480543/IRCTC CF/HDFC/**TC.CF@HDFCBANK /IRCTC TI//HDFFFF74012A3AA42ABB02 C4F3E57F897EC/06/11/2025 12:11:31
UPI,UPI/DR/101899616036/IRCTC CF/HDFC/**TC.CF@HDFCBANK /IRCTC TI//HDFF966A1051C194457ABD A63FBD8D86F13/06/11/2025 12:23:16
UPI,UPI/CR/531006932363/IRCTC WEB/YESB/**51536@PTYBL/EX PRESS//PTMD995CCB20B844D 36B3F3FD3C6EADAFC5/06/11/2025 12:31:59
UPI,UPI/CR/531098003112/YASH NIGAM/UCBA/**M.DEV@OKAXI S/UPI//AXI336824D5A11F4876B 08CF57D3FD90DF3/06/11/2025 19:08:25
UPI,UPI/DR/678332814378/DAULAT RA/YESB/**L0EIL@PTYS/PAYM ENT //AXLF2A1AE49A8EB47D6BA32 2F4B72345A61/07/11/2025 13:28:02
UPI,UPI/DR/531210144042/GOIBIBO /AIRP/**P.RZP@MAIRTEL/PAY VIA //APB759880A806BC40FC8EE4 34D90D9A9F33/08/11/2025 10:13:23
UPI,UPI/blinkit.payu@hd/UPIIntent/HDF C BANK LTD/512736193429/PPPL2344143 8043070525183452681b5a74/
UPI,UPI/tripathipranshu/UPI/State Bank Of I/512794360581/ICI113904b1120a 48ab8a73cf6de043eba3/
UPI,UPI/payzomato@hdfcb/UPI/HDFC BANK LTD/512622940875/ICI11b9622b3 b1d4bd6b843f62014471a5f/
UPI,UPI/gpayrecharge@ok/UPI/AXIS BANK/549220680728/ICI6be6ac84 38cc4acfb0b574a0f1f37c2a/
UPI,UPI/paytm-blinkit@p/Blinkit Payment/YES BANK LIMITE/512474251577/PYTM5050 4802816836197409XXXXXXXXXX X
UPI,UPI/dominospizzaonl/UPI/YES BANK LIMITE/512338228589/PYTM5050 3806439708124193XXXXXXXXXX X/
UPI,UPI/grofersindia.rz/PayviaRazorpay /HDFC BANK LTD/548877141409/ICI4d79c9b342 f14756bd948ccf0813dd22/
UPI,UPI/ntaugcnetdecemb/UGC NET Decembe/AIRTEL PAYMENTS/512222427496/APB19 31624bb38946c7bb26cddeb60b24 d4
UPI,UPI/amazon@rapl/You are paying/Amazon RBL/512124027346/RBA0b43fc3bf 4d44ff5a779a16413ed6850/
UPI,UPI/playstore@axisb/MandateExec ute/AXIS BANK/457406581155/AXI99d403d 0fe7f48688547ad804a348668/
